English,table_name,Parent,Scheme
Items of a print form of a press sheet,v2kdvi__,dbo.v4kdvi__,dbo
Sheets,v2kdvl__,dbo.v4kdvl__,dbo
Print forms,v2kdvr__,dbo.v4kdvr__,dbo
Consumption by finishings,v2kgrd__,dbo.v4kgrd__,dbo
Press sheet colours (NW),v2kkl___,dbo.v4kkl___,dbo
Sheets/web colours,v2kklr__,dbo.v4kklr__,dbo
Sheet costs - standard estimate,v2kkst__,dbo.v4kkst__,dbo
Tools for a press sheet,v2kmat__,dbo.v4kmat__,dbo
Print forms sheets (standard calculation),v2kpn___,dbo.v4kpn___,dbo
Position layout (estimate),v2kpos__,dbo.v4kpos__,dbo
Costs by section by form (standard calculation),v2krub__,dbo.v4krub__,dbo
Production steps,v2kstp__,dbo.v4kstp__,dbo
Standard calculations,v2off___,dbo.v4off___,dbo
Prices outside services per supplier,v2ostf__,dbo.v1ostf__,dbo
Production flow / standard calculation,v2pf____,dbo.v1pf____,dbo
Gradual prices of calculations,v2staf__,dbo.v4staf__,dbo
Subsets (standard calculation),v2subo__,dbo.v4subo__,dbo
Graduated tariff,v2tar___,dbo.v4tar___,dbo
Tariff definition,v2tar_definition__,dbo.v1tar_definition__,dbo
Transport records - standard estimate,v2trn___,dbo.v4trn___,dbo
Delivery addresses (standard calculation),v2trsp__,dbo.v4trsp__,dbo
Pre-press operations (standard calculation),v2vbha__,dbo.v4vbha__,dbo
Packing (pre-calculation),v2vpak__,dbo.v4vpak__,dbo
Versions by calculation (standard calculation),v2vrs___,dbo.v4vrs___,dbo
Versions by form (standard calculation),v2vrsd__,dbo.v4vrsd__,dbo
Job ticket (standard calculation),v2wrkb__,dbo.v4wrkb__,dbo
Alternative substrates,v3alternative_substrates__,dbo.v1alternative_substrates__,dbo
Analytical invoicing,v3ana___,dbo.v4ana___,dbo
Approvers per estimate,v3apv___,dbo.v1apv___,dbo
Automatical numbering (remote calculation),v3autn__,dbo.v4autn__,dbo
General finishing waste per print form,v3awdv__,dbo.v4awdv__,dbo
Material consumption general finishing,v3awgr__,dbo.v1awgr__,dbo
Finishing operations (remote calculation),v3awha__,dbo.v4awha__,dbo
Estimates (remote calculation),v3bon___,dbo.v4bon___,dbo
Label press runs,v3edg___,dbo.v4edg___,dbo
Lanes of a label,v3elan__,dbo.v1elan__,dbo
Position layout labels,v3epos__,dbo.v4epos__,dbo
Estimate Request4Quote Label,v3erfq__,dbo.v4erfq__,dbo
Shapes of a calculation,v3eshp__,dbo.v1eshp__,dbo
Labels print forms finishings (pre-calculation),v3etaf__,dbo.v4etaf__,dbo
Labels print forms (pre-calculation),v3eti___,dbo.v4eti___,dbo
Labels print forms,v3evrm__,dbo.v4evrm__,dbo
Free invoice line items for calculation/standard calculation,v3facl__,dbo.v4facl__,dbo
Entries for free invoice line items calc/standard calc.,v3facr__,dbo.v4facr__,dbo
Finishing of a sheet,v3kafw__,dbo.v4kafw__,dbo
Possible paper for ganging calculation,v3kart__,dbo.v1kart__,dbo
Combination sheet,v3kdam__,dbo.v4kdam__,dbo
Press runs of a press sheet,v3kdg___,dbo.v4kdg___,dbo
Items of press sheet print runs,v3kdgi__,dbo.v4kdgi__,dbo
Inline finishings of a press sheet,v3kdia__,dbo.v4kdia__,dbo
Items of a print form of a press sheet,v3kdvi__,dbo.v4kdvi__,dbo
Sheets,v3kdvl__,dbo.v4kdvl__,dbo
Print forms,v3kdvr__,dbo.v4kdvr__,dbo
Consumption by finishings,v3kgrd__,dbo.v4kgrd__,dbo
Press sheet colours (NW),v3kkl___,dbo.v4kkl___,dbo
Sheets/web colours,v3kklr__,dbo.v4kklr__,dbo
Sheet costs - remote estimate,v3kkst__,dbo.v4kkst__,dbo
Tools for a press sheet,v3kmat__,dbo.v4kmat__,dbo
Print forms sheets (remote calculation),v3kpn___,dbo.v4kpn___,dbo
Position layout (estimate),v3kpos__,dbo.v4kpos__,dbo
Costs by section by form (remote calculation),v3krub__,dbo.v4krub__,dbo
Production steps,v3kstp__,dbo.v4kstp__,dbo
Remote calculation,v3off___,dbo.v4off___,dbo
Prices outside services per supplier,v3ostf__,dbo.v1ostf__,dbo
Unused,v3pf____,dbo.v1pf____,dbo
Gradual prices of calculations,v3staf__,dbo.v4staf__,dbo
Subsets (remote calculation),v3subo__,dbo.v4subo__,dbo
Graduated tariff,v3tar___,dbo.v4tar___,dbo
Tariff definition,v3tar_definition__,dbo.v1tar_definition__,dbo
Transport records - remote estimate,v3trn___,dbo.v4trn___,dbo
Delivery addresses (remote calculation),v3trsp__,dbo.v4trsp__,dbo
Pre-press operations (remote calculation),v3vbha__,dbo.v4vbha__,dbo
Packing (pre-calculation),v3vpak__,dbo.v4vpak__,dbo
Versions by calculation (remote calculation),v3vrs___,dbo.v4vrs___,dbo
Versions by form (remote calculation),v3vrsd__,dbo.v4vrsd__,dbo
Job ticket (remote calculation),v3wrkb__,dbo.v4wrkb__,dbo
Alternative substrates,v4alternative_substrates__,dbo.v1alternative_substrates__,dbo
Analytical invoicing,v4ana___,,dbo
Approvers per estimate,v4apv___,dbo.v1apv___,dbo
Automatical numbering (job calculation),v4autn__,,dbo
General finishing waste per print form,v4awdv__,,dbo
Material consumption general finishing,v4awgr__,dbo.v1awgr__,dbo
Finishing operations (job calculation),v4awha__,,dbo
Jobs (jobs),v4bon___,,dbo
Label press runs,v4edg___,,dbo
Lanes of a label,v4elan__,dbo.v1elan__,dbo
Position layout labels jobs,v4epos__,,dbo
Estimate Request4Quote Label,v4erfq__,,dbo
-Shapes of a job,v4eshp__,dbo.v1eshp__,dbo
Labels print forms finishings (pre-calculation),v4etaf__,,dbo
Labels print forms (pre-calculation),v4eti___,,dbo
Labels print forms,v4evrm__,,dbo
Free invoice line items for calculation/standard calculation,v4facl__,,dbo
Entries for free invoice line items calc/standard calc.,v4facr__,,dbo
Finishing of a sheet,v4kafw__,,dbo
Possible paper for ganging calculation,v4kart__,dbo.v1kart__,dbo
Combination sheet,v4kdam__,,dbo
Press runs of a press sheet,v4kdg___,,dbo
Items of press sheet print runs,v4kdgi__,,dbo
Inline finishings of a press sheet,v4kdia__,,dbo
Items of a print form of a press sheet,v4kdvi__,,dbo
Sheets,v4kdvl__,,dbo
Print forms,v4kdvr__,,dbo
Consumption by finishings,v4kgrd__,,dbo
Press sheet colours (NW),v4kkl___,,dbo
Sheets/web colours,v4kklr__,,dbo
Sheet costs - orders,v4kkst__,,dbo
Tools for a press sheet,v4kmat__,,dbo
Print forms sheets (job calculation),v4kpn___,,dbo
Position layout (estimate),v4kpos__,,dbo
Costs by section by form (job calculation),v4krub__,,dbo
Production steps,v4kstp__,,dbo
Job calculations,v4off___,,dbo
Prices outside services per supplier,v4ostf__,dbo.v1ostf__,dbo
Production flow / job,v4pf____,dbo.v1pf____,dbo
Packing definition (pre-calculation),v4pkg___,dbo.v1pkg___,dbo
Gradual prices of calculations,v4staf__,,dbo
Subsets (job calculation),v4subo__,,dbo
Graduated tariff,v4tar___,,dbo
Tariff definition,v4tar_definition__,dbo.v1tar_definition__,dbo
Transport records - orders,v4trn___,,dbo
Delivery addresses (job calculation),v4trsp__,,dbo
Pre-press operations (job calculation),v4vbha__,,dbo
Packing (pre-calculation),v4vpak__,,dbo
Versions by calculation (job calculation),v4vrs___,,dbo
Versions by form (job calculation),v4vrsd__,,dbo
Job ticket (job calculation),v4wrkb__,,dbo
Stock compartments,vakken__,,dbo
Pre-press operations by client,vb_kla__,,dbo
Pre-press procedures,vb_prc__,,dbo
Pre-press processes of a pre-press procedure,vb_prh__,,dbo
Pre-press processes,vb_std__,,dbo
Representatives,verte___,,dbo
Unpaid sales invoices transfered from accountancy,vkdtrg__,,dbo
Calculation parameters 1,vkpar1__,,dbo
Calculation parameters 2,vkpar2__,,dbo
Sales documents,vkpdok__,,dbo
Factuurnummers (Indonesië),vkpvlg__,,dbo
Serial numbers,volgnr__,,dbo
Packing methods,vpakpr__,,dbo
Packing inner volume methods,vpakrk__,,dbo
Manner of packing,vpakwy__,,dbo
Shipping groups,vrzgrp__,,dbo
Shipping addresses,vrzlok__,,dbo
Clockings via jmf,w_ajmf__,,dbo
Clockings before end day task,w_atl1__,,dbo
Clockings after end day task,w_atl2__,,dbo
Work zone presences,w_awz2__,,dbo
Input zone reading ordersheets to make jobs,w_bbor__,,dbo
Input deliveries materials pallet and rolls,w_bgl2__,,dbo
Input deliveries materials,w_bglv__,,dbo
To be processed begin stock SKU's,w_bsku__,,dbo
Bus table,w_bus___,,dbo
Input stock changes,w_mf____,,dbo
Work zone registration code shift system,w_plc2__,,dbo
Work zone clockings,w_pnt2__,,dbo
Input begin situation materials,w_rsb1__,,dbo
Input begin situation pallets,w_rsb2__,,dbo
Internal movements,w_rsb3__,,dbo
In process counting SKU,w_tsku__,,dbo
Work zone material consumptions,w_vrb2__,,dbo
SKU details consumptions,w_vrbd__,,dbo
Material consumptions via reservations,w_vrbr__,,dbo
Print forms rotary (pre-calculation),w1kpn___,dbo.w4kpn___,dbo
Print forms rotary (standard calculation),w2kpn___,dbo.w4kpn___,dbo
Print forms rotary (remote calculation),w3kpn___,dbo.w4kpn___,dbo
Print forms rotary (job calc),w4kpn___,,dbo
Tick data invoice lines,wafgfa__,dbo.hafgfa__,dbo
Customer payments,wafgfb__,dbo.hafgfb__,dbo
Commissions invoices in process,wafgfc__,dbo.hafgfc__,dbo
History of links for sales invoices,wafgfe__,,dbo
Invoices intrastat data in process,wafgfi__,dbo.hafgfi__,dbo
Ingave facturering: documenten,wafgfk__,dbo.hafgfk__,dbo
Input invoicing: invoice lines,wafgfl__,dbo.hafgfl__,dbo
Input invoicing: accounts,wafgfr__,dbo.hafgfr__,dbo
Link to purchase invoices,wakpfe__,,dbo
In process purchase invoices intrastat lines,wakpfi__,dbo.hakpfi__,dbo
In process purchase invoices,wakpfk__,dbo.hakpfk__,dbo
In process purchase invoice lines,wakpfl__,dbo.hakpfl__,dbo
In process zone accounts purchase invoices,wakpfr__,dbo.hakpfr__,dbo
Supervisors internet,webaut__,,dbo
Employees,werknm__,,dbo
Machines,werkpo__,,dbo
Windings,wikk____,,dbo
Blocked input zones,wkzone__,,dbo
Machine operations,wpakt___,,dbo
